,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,216154.914,"[63960.744, 90840.728]",268976.657,"[261888.871, 276256.267]","[161942.624, 307398.917]","[137967.21, 446753.547]",148179.2,148179.2
beta/eta,6395.126,"[522.56, 569.059]",6814.717,"[6689.756, 6942.012]","[6446.667, 6942.012]","[5162.795, 7203.779]",6746.79,6746.79
xc^2/epsilon,512.289,"[168.082, 250.16]",342.933,"[331.99, 354.237]","[331.99, 459.167]","[331.99, 1214.811]",342.86,342.86
xc,15.649,"[6.369, 10.739]",13.864,"[13.326, 14.423]","[12.313, 15.611]","[8.972, 82.225]",14.203,14.203
ExtH,5.982,"[0.145, 0.149]",6.157,"[6.152, 6.162]","[6.013, 6.183]","[5.801, 6.183]",6.161,6.161
eta,7.37e-05,"[2.67e-05, 4.18e-05]",9.3e-05,"[8.91e-05, 9.71e-05]","[5.8e-05, 0.000106]","[4.48e-05, 0.000193]",9.58e-05,9.58e-05
beta,0.468,"[0.166, 0.258]",0.63,"[0.606, 0.655]","[0.442, 0.766]","[0.299, 1.049]",0.647,0.647
epsilon,0.483,"[0.288, 0.714]",0.557,"[0.513, 0.605]","[0.313, 0.605]","[0.0841, 5.128]",0.588,0.588
sqrt(xc/eta),468.51,"[73.721, 87.488]",518.63,"[511.751, 525.601]","[435.987, 554.436]","[371.439, 668.396]",384.941,384.941
s= eta^0.5*xc^1.5/epsilon,1.109,"[0.221, 0.276]",0.877,"[0.86, 0.894]","[0.86, 1.217]","[0.86, 1.788]",0.891,0.891
beta*xc/epsilon,15.034,"[0.764, 0.805]",15.491,"[15.226, 15.762]","[14.708, 15.762]","[13.258, 15.762]",15.611,15.611
eta*xc/epsilon,0.00239,"[0.000125, 0.000132]",0.00233,"[0.00231, 0.00236]","[0.00222, 0.0024]","[0.00218, 0.0027]",0.00231,0.00231
Fx=beta^2/eta*xc,181.273,"[71.191, 117.231]",132.697,"[125.136, 140.715]","[111.282, 253.006]","[61.892, 319.924]",307.19,307.19
Dx =beta*epsilon/eta*xc^2,12.12,"[4.495, 7.146]",9.171,"[8.758, 9.603]","[6.644, 16.687]","[4.193, 20.061]",19.678,19.678
Pk=beta*k/epsilon,0.491,"[0.197, 0.33]",0.549,"[0.519, 0.58]","[0.519, 0.648]","[0.099, 0.808]",0.55,0.55
Fk=beta^2/eta*k,5555.771,"[1950.014, 3004.593]",3949.85,"[3786.259, 4120.51]","[3196.9, 6290.051]","[3196.9, 9601.904]",8725.943,8725.943
Dk =beta*epsilon/eta*k^2,12164.488,"[6907.024, 15981.165]",16464.98,"[15233.892, 17795.556]","[9556.721, 17795.556]","[1729.026, 98360.077]",15877.827,15877.827
Fk^2/Dk=beta^3/eta*epsilon,2841.693,"[1199.147, 2074.59]",5073.451,"[4718.073, 5455.597]","[2639.09, 5455.597]","[825.721, 5455.597]",4795.497,4795.497
epsilon/beta^2,2.224,"[0.832, 1.33]",1.39,"[1.315, 1.469]","[1.315, 2.047]","[1.315, 6.182]",1.407,1.407
k/beta,1.078,"[0.379, 0.586]",0.793,"[0.763, 0.825]","[0.652, 1.222]","[0.515, 1.672]",0.773,0.773
k^2/epsilon,0.524,"[0.308, 0.746]",0.448,"[0.413, 0.487]","[0.413, 0.676]","[0.0574, 2.97]",0.425,0.425
eta/xc,4.62e-06,"[1.37e-06, 1.95e-06]",3.72e-06,"[3.62e-06, 3.82e-06]","[3.25e-06, 6.18e-06]","[2.24e-06, 7.25e-06]",6.75e-06,6.75e-06
beta/xc,0.0293,"[0.0101, 0.0154]",0.044,"[0.0423, 0.0458]","[0.0332, 0.0458]","[0.0117, 0.0497]",0.0455,0.0455
epsilon/xc^2,0.00195,"[0.000641, 0.000954]",0.00292,"[0.00282, 0.00301]","[0.00218, 0.00301]","[0.000823, 0.00301]",0.00292,0.00292
k/xc,0.0319,"[0.013, 0.022]",0.036,"[0.0346, 0.0375]","[0.032, 0.0406]","[0.00608, 0.0557]",0.0352,0.0352
best fit no ext hazard_MedianLifetime,4524.57,184.89000000000033,4524.57,"[4344.73, 4709.46]","[4344.73, 4709.46]","[4344.73, 4709.46]",4524.57,
best fit no ext hazard_MaxLifetime,6799.12,0,6799.12,"[6799.12, 6799.12]","[6799.12, 6799.12]","[6799.12, 6799.12]",6799.12,
best fit_MedianLifetime,4493.03,185.0600000000004,4493.03,"[4313.03, 4678.09]","[4313.03, 4678.09]","[4313.03, 4678.09]",4493.03,
best fit_MaxLifetime,6613.37,0,6613.37,"[6613.37, 6613.37]","[6613.37, 6613.37]","[6613.37, 6613.37]",6613.37,
data_MedianLifetime,4487.88,189.6899999999996,4487.88,"[4312.55, 4677.57]","[4312.55, 4677.57]","[4312.55, 4677.57]",4487.88,
data_MaxLifetime,7065.12,0,7065.12,"[7065.12, 7065.12]","[7065.12, 7065.12]","[7065.12, 7065.12]",7065.12,
ML_lnprob,-20998.558840421138,"[-20998.558840421138, -20998.558840421138]",-20998.558840421138,"[-20998.558840421138, -20998.558840421138]","[-20998.558840421138, -20998.558840421138]","[-20998.558840421138, -20998.558840421138]",-20998.558840421138,-20998.558840421138
