Key,Weibull BIC,Gompertz BIC,Difference,Better Model,Weibull Params,Gompertz Params
mice_F,33092.89286929804,47020.397856990945,13927.504987692904,Weibull,"{'lambda_': 134.9866607921613, 'rho_': 5.772365348841021}","{'eta': 1.3650532373577437e-09, 'alfa': 0.11868187602935334}"
mice_M,26007.57624702632,43903.13863078364,17895.562383757315,Weibull,"{'lambda_': 117.75958454058627, 'rho_': 3.5186882091625025}","{'eta': 1.555339218321842e-09, 'alfa': 0.12262066650390527}"
yeast,179933.37841535313,182962.4049351,3029.026519746869,Weibull,"{'lambda_': 29.581527211721983, 'rho_': 3.0001462034475472}","{'eta': 0.006083446982201812, 'alfa': 0.08966892824572134}"
celegans,9906.666965251572,10268.164010149101,361.4970448975291,Weibull,"{'lambda_': 19.40788805722731, 'rho_': 7.262989462138254}","{'eta': 0.00033503094324095615, 'alfa': 0.3546818371419538}"
ecoli,42485.70110334358,41819.05393757347,666.647165770104,gompertz,"{'lambda_': 71.70982124243385, 'rho_': 3.553652557026972}","{'eta': 0.0010062737916602085, 'alfa': 0.05388046594829432}"
cats_vp_M,16841.03730194744,16679.11279738397,161.9245045634707,gompertz,"{'lambda_': 13.808848770960903, 'rho_': 2.7547095521467218}","{'eta': 0.01138258813869408, 'alfa': 0.20287009200450729}"
cats_vp_F,15759.87412262238,15430.357190060393,329.5169325619863,gompertz,"{'lambda_': 15.062227157444283, 'rho_': 3.1772107035465966}","{'eta': 0.006351044997783894, 'alfa': 0.23110577949571381}"
drosophila_853,8141.123170708457,8085.960217502865,55.1629532055922,gompertz,"{'lambda_': 48.839545067331315, 'rho_': 5.446079829469097}","{'eta': 0.00031584892564114444, 'alfa': 0.11954084752191182}"
drosophila_707,6840.060594474184,7006.199878304833,166.13928383064922,Weibull,"{'lambda_': 25.048352511939406, 'rho_': 3.324952032053388}","{'eta': 0.0055094195867772065, 'alfa': 0.12064252995399867}"
drosophila_441,7849.552969911342,7920.896171317012,71.34320140566979,Weibull,"{'lambda_': 53.0943629274807, 'rho_': 6.581466878920171}","{'eta': 0.00016896600033981156, 'alfa': 0.12260024611660705}"
drosophila_217,5753.640360992623,5889.794561521023,136.1542005284,Weibull,"{'lambda_': 34.4004317237205, 'rho_': 5.515553329243422}","{'eta': 0.0006751305624577948, 'alfa': 0.1555280899060048}"
Denmark_M_1900,649105.3946490191,641019.3652502315,8086.02939878765,gompertz,"{'lambda_': 76.67985076283989, 'rho_': 5.8097594752118145}","{'eta': 0.00012771997548623868, 'alfa': 0.08324731945614453}"
Denmark_F_1900,683850.9647021865,670599.1891379011,13251.77556428546,gompertz,"{'lambda_': 80.89635564638596, 'rho_': 5.794255885964644}","{'eta': 9.943595953224859e-05, 'alfa': 0.08171566935488096}"
Staffy,10436.582824443058,10238.837826581908,197.7449978611494,gompertz,"{'lambda_': 12.726187366077188, 'rho_': 4.462971395390091}","{'eta': 0.0025330781642490963, 'alfa': 0.386215021672494}"
Labradors,11280.79673173838,11103.910381710999,176.8863500273801,gompertz,"{'lambda_': 12.899041717592613, 'rho_': 5.867125193379039}","{'eta': 0.0007975876387075483, 'alfa': 0.49047995506693154}"
Jack_Russell,7675.667129747097,7466.414042696066,209.2530870510309,gompertz,"{'lambda_': 13.90843873905524, 'rho_': 4.6471842257283935}","{'eta': 0.0017148432875128544, 'alfa': 0.3800146697406922}"
German_Shepherd,4917.905896845136,4822.797139875798,95.10875696933817,gompertz,"{'lambda_': 11.272805414055352, 'rho_': 4.695663577608198}","{'eta': 0.002329400737531087, 'alfa': 0.4588919504883681}"
Guiniea_pig_VC,2834.0417109952245,2780.2261625933716,53.81554840185299,gompertz,"{'lambda_': 4.513908775756271, 'rho_': 2.1145651868689015}","{'eta': 0.06432557379701899, 'alfa': 0.42042973699547803}"
